Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 123.0.0.0,,,12-04-2024 20:59:54,12-04-2024 21:01:12,1m - 17.439s,PASSED
,,,,,,,
Test Cases/Runner/Login/Negatif/Login - tanpa fill form,Chrome 123.0.0.0,,,12-04-2024 20:59:55,12-04-2024 21:00:08,13.663s,PASSED
Start listener action : beforeTestCase,Chrome 123.0.0.0,,,12-04-2024 20:59:55,12-04-2024 20:59:55,0.119s,PASSED
"runFeatureFileWithTags(""Include/features/Login.feature"", ""@Login_null_form"")",Chrome 123.0.0.0,,,12-04-2024 20:59:55,12-04-2024 21:00:08,13.443s,PASSED
,,,,,,,
Test Cases/Runner/Login/Negatif/Login - tanpa fill username,Chrome 123.0.0.0,,,12-04-2024 21:00:08,12-04-2024 21:00:19,10.253s,PASSED
Start listener action : beforeTestCase,Chrome 123.0.0.0,,,12-04-2024 21:00:08,12-04-2024 21:00:08,0.005s,PASSED
"runFeatureFileWithTags(""Include/features/Login.feature"", ""@Login_null_username"")",Chrome 123.0.0.0,,,12-04-2024 21:00:08,12-04-2024 21:00:19,10.157s,PASSED
,,,,,,,
Test Cases/Runner/Login/Negatif/Login - tanpa fill password,Chrome 123.0.0.0,,,12-04-2024 21:00:19,12-04-2024 21:00:30,11.061s,PASSED
Start listener action : beforeTestCase,Chrome 123.0.0.0,,,12-04-2024 21:00:19,12-04-2024 21:00:19,0.002s,PASSED
"runFeatureFileWithTags(""Include/features/Login.feature"", ""@Login_null_password"")",Chrome 123.0.0.0,,,12-04-2024 21:00:19,12-04-2024 21:00:30,11.004s,PASSED
,,,,,,,
Test Cases/Runner/Login/Negatif/Login - invalid username,Chrome 123.0.0.0,,,12-04-2024 21:00:30,12-04-2024 21:00:41,11.494s,PASSED
Start listener action : beforeTestCase,Chrome 123.0.0.0,,,12-04-2024 21:00:30,12-04-2024 21:00:30,0.003s,PASSED
"runFeatureFileWithTags(""Include/features/Login.feature"", ""@Login_invalid_username"")",Chrome 123.0.0.0,,,12-04-2024 21:00:30,12-04-2024 21:00:41,11.429s,PASSED
,,,,,,,
Test Cases/Runner/Login/Negatif/Login - invalid password,Chrome 123.0.0.0,,,12-04-2024 21:00:41,12-04-2024 21:00:57,15.586s,PASSED
Start listener action : beforeTestCase,Chrome 123.0.0.0,,,12-04-2024 21:00:41,12-04-2024 21:00:41,0.002s,PASSED
"runFeatureFileWithTags(""Include/features/Login.feature"", ""@Login_invalid_password"")",Chrome 123.0.0.0,,,12-04-2024 21:00:41,12-04-2024 21:00:57,15.518s,PASSED
,,,,,,,
Test Cases/Runner/Login/Negatif/Login - invalid username dan password,Chrome 123.0.0.0,,,12-04-2024 21:00:57,12-04-2024 21:01:12,15.126s,PASSED
Start listener action : beforeTestCase,Chrome 123.0.0.0,,,12-04-2024 21:00:57,12-04-2024 21:00:57,0.002s,PASSED
"runFeatureFileWithTags(""Include/features/Login.feature"", ""@Login_invalid_username_password"")",Chrome 123.0.0.0,,,12-04-2024 21:00:57,12-04-2024 21:01:12,15.064s,PASSED
